Source,Target,Weight
pathway,protein,226
pathway,production,105
pathway,receptor,96
pathway,regulation,95
pathway,replication,89
pathway,vitro,61
pathway,patient,59
pathway,structure,57
pathway,viral replication,51
pathway,rna,49
pathway,release,36
pathway,transcription factor,32
pathway,virus replication,32
pathway,rna virus,30
pathway,synthesis,29
pathway,vivo,28
pathway,toll,27
pathway,viral protein,27
pathway,transcription,26
pathway,sequence,25
pathway,translation,25
pathway,signal,23
pathway,tnf,22
pathway,risk,21
pathway,stimulation,21
pathway,suppression,21
pathway,residue,19
pathway,virion,19
pathway,t cell,16
pathway,transcript,16
pathway,total,15
pathway,substrate,14
pathway,subunit,14
pathway,symptom,14
pathway,tgev,14
pathway,pneumonia,13
pathway,person,12
pathway,threat,12
pathway,viral genome,12
pathway,viral rna,12
pathway,risk factor,10
pathway,staining,10
pathway,toxicity,10
pathway,rotavirus,9
pathway,vero cell,9
pathway,viral entry,9
pathway,virus particle,9
pathway,virus titer,9
pathway,western blot,9
pathway,western blot analysis,9
pathway,science,8
pathway,transfection,8
pathway,western blotting,8
pathway,wild type,8
pathway,respiratory syncytial virus,7
pathway,respiratory virus,7
pathway,rhinovirus,7
pathway,rsv,7
pathway,scale,7
pathway,t lymphocyte,7
pathway,virus entry,7
pathway,pcr,6
pathway,practice,6
pathway,resource,6
pathway,rt pcr,6
pathway,subject,6
pathway,target cell,6
pathway,transmissible gastroenteritis virus,6
pathway,tropism,6
pathway,prevalence,5
pathway,public health,5
pathway,section,5
pathway,situation,5
pathway,structural protein,5
pathway,titer,5
pathway,vesicular stomatitis virus,5
pathway,viral titer,5
pathway,researcher,4
pathway,respiratory infection,4
pathway,spike protein,4
pathway,surveillance,4
pathway,survey,4
pathway,swine,4
pathway,topic,4
pathway,user,4
pathway,viral antigen,4
pathway,viremia,4
pathway,vsv,4
pathway,yeast,4
pathway,scenario,3
pathway,specific,3
pathway,spike,3
pathway,surveillance system,3
pathway,theory,3
pathway,united state,3
pathway,web,3
pathway,woman,3
pathway,respiratory pathogen,2
pathway,score,2
pathway,segment,2
pathway,sequence analysis,2
pathway,sera,2
pathway,serum sample,2
pathway,service,2
pathway,substitution,2
pathway,template,2
pathway,test result,2
pathway,transplantation,2
pathway,vaccine candidate,2
pathway,vaccine strain,2
pathway,variable,2
pathway,wuhan,2
pathway,serotype,1
pathway,sex,1
pathway,specific antibody,1
pathway,specimen,1
pathway,staff,1
pathway,standard,1
pathway,study design,1
pathway,summary background,1
pathway,supply,1
pathway,swab,1
pathway,t cell response,1
pathway,titre,1
pathway,training,1
pathway,travel,1
pathway,united states,1
pathway,upper respiratory tract infection,1
pathway,ventilation,1
pathway,viral agent,1
pathway,viral particle,1
pathway,virus detection,1
pathway,virus genome,1
pathway,virus isolation,1
pathway,vlp,1
pathway,winter,1
pathway,worker,1
pathway,young child,1
patient,pneumonia,371
patient,symptom,328
patient,risk,306
patient,total,231
patient,respiratory virus,217
patient,pcr,177
patient,person,170
patient,respiratory syncytial virus,154
patient,protein,145
patient,rhinovirus,136
patient,specimen,136
patient,wuhan,128
patient,subject,119
patient,prevalence,114
patient,risk factor,112
patient,practice,105
patient,respiratory infection,102
patient,score,102
patient,rt pcr,101
patient,rsv,99
patient,surveillance,85
patient,staff,83
patient,service,79
patient,rna,68
patient,sera,68
patient,situation,67
patient,receptor,66
patient,sequence,66
patient,world health organization,65
patient,season,60
patient,production,58
patient,september,58
patient,study design,58
patient,ward,58
patient,resource,57
patient,training,56
patient,transplantation,55
patient,threat,54
patient,taiwan,53
patient,standard,52
patient,t cell,51
patient,woman,51
patient,una,50
patient,visit,50
patient,respiratory pathogen,49
patient,throat swab,48
patient,vitro,47
patient,viral pneumonia,46
patient,survey,44
patient,team,44
patient,swab,43
patient,ventilation,43
patient,sex,42
patient,university hospital,42
patient,serum sample,41
patient,study period,41
patient,university,41
patient,winter,41
patient,replication,40
patient,public health,38
patient,variable,37
patient,scale,36
patient,test result,35
patient,worker,34
patient,summary background,33
patient,tnf,32
patient,travel,32
patient,viral respiratory infection,32
patient,regulation,31
patient,upper respiratory tract infection,30
patient,structure,29
patient,virus detection,29
patient,young child,28
patient,science,27
patient,researcher,26
patient,sequence analysis,26
patient,supply,25
patient,virale,25
patient,signal,24
patient,society,24
patient,surveillance system,24
patient,titer,24
patient,viral replication,24
patient,staining,23
patient,synthesis,23
patient,viral agent,23
patient,united states,22
patient,viral rna,22
patient,release,21
patient,year period,21
patient,serotype,20
patient,spike,20
patient,t lymphocyte,20
patient,rotavirus,19
patient,topic,19
patient,vivo,18
patient,scenario,17
patient,section,17
patient,spike protein,17
patient,vietnam,16
patient,western blot,16
patient,specific antibody,15
patient,suppression,15
patient,theory,15
patient,total number,15
patient,stimulation,14
patient,toxicity,13
patient,viral genome,13
patient,vomiting,13
patient,viremia,12
patient,virus isolation,12
patient,segment,11
patient,toll,11
patient,transportation,11
patient,virus replication,11
patient,rna virus,10
patient,target cell,10
patient,tropism,10
patient,united state,10
patient,user,10
patient,web,10
patient,specific,9
patient,titre,9
patient,transcript,9
patient,translation,9
patient,viral antigen,9
patient,residue,8
patient,structural protein,8
patient,t cell response,8
patient,transcription factor,8
patient,uncertainty,8
patient,viral particle,7
patient,virion,7
patient,substitution,6
patient,transfection,6
patient,virus genome,6
patient,template,5
patient,transcription,5
patient,vero cell,5
patient,viral protein,5
patient,viral titer,5
patient,virus particle,5
patient,western blot analysis,5
patient,western blotting,5
patient,subunit,4
patient,swine,4
patient,viral entry,4
patient,vaccine candidate,3
patient,virus titer,3
patient,wild type,3
patient,yeast,3
patient,substrate,2
patient,vaccine strain,2
patient,vlp,2
patient,vesicular stomatitis virus,1
patient,virus entry,1
patient,vsv,1
pcr,respiratory virus,76
pcr,rt pcr,71
pcr,specimen,70
pcr,sequence,65
pcr,total,61
pcr,pneumonia,57
pcr,rhinovirus,55
pcr,prevalence,53
pcr,respiratory syncytial virus,47
pcr,rsv,45
pcr,symptom,40
pcr,rna,39
pcr,respiratory infection,32
pcr,study design,29
pcr,surveillance,24
pcr,protein,22
pcr,production,21
pcr,risk,21
pcr,virus detection,21
pcr,season,20
pcr,swab,20
pcr,risk factor,19
pcr,sequence analysis,19
pcr,respiratory pathogen,18
pcr,rna virus,16
pcr,serum sample,16
pcr,subject,16
pcr,template,16
pcr,practice,15
pcr,sera,15
pcr,viral agent,15
pcr,virus isolation,15
pcr,study period,14
pcr,survey,14
pcr,serotype,13
pcr,viral respiratory infection,13
pcr,vitro,13
pcr,replication,12
pcr,rotavirus,12
pcr,virale,12
pcr,throat swab,11
pcr,titer,11
pcr,september,10
pcr,tgev,10
pcr,threat,10
pcr,viral rna,10
pcr,young child,10
pcr,person,9
pcr,public health,9
pcr,test result,9
pcr,viral genome,9
pcr,signal,8
pcr,una,8
pcr,upper respiratory tract infection,8
pcr,visit,8
pcr,receptor,7
pcr,segment,7
pcr,sex,7
pcr,standard,7
pcr,synthesis,7
pcr,vaccine strain,7
pcr,virion,7
pcr,virus genome,7
pcr,western blot,7
pcr,regulation,6
pcr,researcher,6
pcr,service,6
pcr,structure,6
pcr,score,5
pcr,substitution,5
pcr,tnf,5
pcr,transmissible gastroenteritis virus,5
pcr,user,5
pcr,viral antigen,5
pcr,viral particle,5
pcr,viral replication,5
pcr,winter,5
pcr,residue,4
pcr,specific,4
pcr,specific antibody,4
pcr,spike,4
pcr,staining,4
pcr,summary background,4
pcr,swine,4
pcr,taiwan,4
pcr,titre,4
pcr,total number,4
pcr,transcription,4
pcr,vero cell,4
pcr,viral pneumonia,4
pcr,virus replication,4
pcr,ward,4
pcr,wild type,4
pcr,woman,4
pcr,year period,4
pcr,scale,3
pcr,situation,3
pcr,surveillance system,3
pcr,target cell,3
pcr,transfection,3
pcr,transplantation,3
pcr,university,3
pcr,vaccine candidate,3
pcr,variable,3
pcr,vietnam,3
pcr,viremia,3
pcr,virus particle,3
pcr,science,2
pcr,section,2
pcr,spike protein,2
pcr,stimulation,2
pcr,t cell,2
pcr,transcript,2
pcr,transportation,2
pcr,tropism,2
pcr,university hospital,2
pcr,vivo,2
pcr,vomiting,2
pcr,western blotting,2
pcr,worker,2
pcr,world health organization,2
pcr,wuhan,2
pcr,release,1
pcr,resource,1
pcr,scenario,1
pcr,society,1
pcr,staff,1
pcr,substrate,1
pcr,subunit,1
pcr,supply,1
pcr,suppression,1
pcr,theory,1
pcr,training,1
pcr,transcription factor,1
pcr,translation,1
pcr,travel,1
pcr,uncertainty,1
pcr,united state,1
pcr,united states,1
pcr,ventilation,1
pcr,viral titer,1
pcr,virus entry,1
pcr,vlp,1
pcr,vsv,1
pcr,web,1
pcr,yeast,1
person,risk,99
person,symptom,64
person,threat,50
person,pneumonia,42
person,surveillance,40
person,wuhan,40
person,total,38
person,practice,36
person,world health organization,34
person,public health,33
person,service,31
person,survey,31
person,resource,30
person,researcher,29
person,travel,27
person,prevalence,25
person,situation,25
person,subject,25
person,team,25
person,protein,24
person,science,23
person,society,20
person,staff,20
person,university,20
person,structure,19
person,surveillance system,18
person,united states,18
person,risk factor,17
person,taiwan,17
person,worker,17
person,respiratory infection,16
person,theory,16
person,woman,15
person,production,14
person,respiratory virus,14
person,variable,14
person,sequence,13
person,training,13
person,respiratory syncytial virus,12
person,scale,12
person,standard,12
person,supply,12
person,swab,12
person,receptor,11
person,score,11
person,season,11
person,september,11
person,specimen,11
person,transportation,11
person,ventilation,11
person,replication,10
person,rsv,10
person,scenario,10
person,topic,10
person,total number,10
person,release,9
person,rhinovirus,9
person,rna,9
person,serotype,9
person,user,9
person,regulation,8
person,rna virus,8
person,united state,8
person,visit,8
person,winter,8
person,section,7
person,summary background,7
person,titer,7
person,viral pneumonia,7
person,rt pcr,6
person,serum sample,6
person,synthesis,6
person,test result,6
person,toxicity,6
person,uncertainty,6
person,vaccine candidate,6
person,ward,6
person,young child,6
person,spike,5
person,study design,5
person,throat swab,5
person,toll,5
person,transplantation,5
person,viral agent,5
person,vitro,5
person,web,5
person,rotavirus,4
person,sex,4
person,subunit,4
person,t cell,4
person,viral replication,4
person,respiratory pathogen,3
person,sera,3
person,stimulation,3
person,study period,3
person,swine,3
person,una,3
person,university hospital,3
person,upper respiratory tract infection,3
person,viral antigen,3
person,viral respiratory infection,3
person,virus particle,3
person,specific antibody,2
person,staining,2
person,structural protein,2
person,substitution,2
person,t lymphocyte,2
person,transcript,2
person,vietnam,2
person,viral entry,2
person,viral genome,2
person,viral protein,2
person,viral rna,2
person,viral titer,2
person,virion,2
person,virus entry,2
person,vomiting,2
person,signal,1
person,specific,1
