Year,Name,Author,Title,Abstract,Citations
1998,Cytotoxicity,L Pewe,Infection with Cytotoxic T-Lymphocyte Escape Mutants Results in Increased Mortality and Growth Retardation in Mice Infected with a Neurotropic Coronavirus,These mutations abrogated recognition by T cells harvested from the central nervous systems of infected mice in direct ex vivo cytotoxicity assays.,35
2001,Immunospot,Yuan L,Protective Immunity and Antibody-Secreting Cell Responses Elicited by Combined Oral Attenuated Wa Human Rotavirus and Intranasal Wa 2/6-VLPs with Mutant Escherichia coli Heat-Labile Toxin in Gnotobiotic Pigs,"The isotype, magnitude, and tissue distribution of antibody-secreting cells (ASCs) in the intestinal and systemic lymphoid tissues were evaluated using an enzyme-linked immunospot assay.",65
2002,Lymphoproliferative,Arriba ML,Lymphoproliferative responses and protection in conventional piglets inoculated orally with virulent or attenuated porcine epidemic diarrhoea virus, A lymphoproliferative assay was developed in which mononuclear cells isolated from lymphoid tissues at different postinoculation and postchallenge days underwent a secondary in vitro stimulation with semipurified antigen obtained from PEDV-infected cell cultures.,22
2005,Western blot,Zhang CH,Immune responses in Balb/c mice induced by a candidate SARS-CoV inactivated vaccine prepared from F69 strain,Western blot assay further demonstrated the specificity of the induced serum antibodies.,20
2005,Immunological,Roberts A,"Animal models and antibody assays for evaluating candidate SARS vaccines: Summary of a technical meeting 25–26 August 2005, London, UK","Administration's ""animal rule"" would apply to licensure of a SARS vaccine, it is important to develop standardized animal models and immunological assays in preparation for this eventuality. ",15
2006,Cytotoxicity,Tayade C,l-Arginine stimulates intestinal intraepithelial lymphocyte functions and immune response in chickens orally immunized with live intermediate plus strain of infectious bursal disease vaccine, Functional activities of iIELs evaluated by cytotoxicity assay demonstrated significantly high percentage cytotoxicity in IP+l-arginine groups compared with IP group (P<0.05).,29
2008,ICS/ELISpot/ELISA,Martin JE ,A SARS DNA vaccine induces neutralizing antibody and cellular immune responses in healthy adults in a Phase I clinical trial,"A single-plasmid DNA vaccine encoding the Spike (S) glycoprotein was evaluated in 10 healthy adults. Nine subjects completed the 3 dose vaccination schedule and were evaluated for vaccine safety and immune responses. Immune response was assessed by intracellular cytokine staining (ICS), ELISpot, ELISA, and neutralization assays.",87
2008,ELISPOT,Chris Ka-fai,T Cell Responses to Whole SARS Coronavirus in Humans,We used a matrix of overlapping peptides spanning whole SARS-CoV proteome to determine T cell responses from 128 SARS convalescent samples by ex vivo IFN-? ELISPOT assays.,54
2012,Immunosorbent,Cong H,Toxoplasma gondii HLA-B*0702 restricted GRA7(20–28) peptide with adjuvants and an universal helper T cell epitope elicits CD8(+) T cells producing IFN-? and reduces parasite burden in HLA-B*0702 mice,"Herein, these peptides were evaluated to determine whether they could elicit IFN-? in splenocytes of HLA-B*0702 transgenic mice when administered with adjuvants and protect against subsequent challenge. Peptide-specific IFN-?-producing T cells were identified by enzyme-linked immunosorbent spot and proliferation assays",37
2012,ELISPOT,Papaneri ,Further characterization of the immune response in mice to inactivated and live rabies vaccines expressing Ebola virus glycoprotein,"Here, we expand our investigation of the immunogenic properties of these bivalent vaccines in mice. Both live and killed vaccines induced primary EBOV GP-specific T-cells and a robust recall response as measured by interferon-? ELISPOT assay.",28
2015,MxA /CRP point-of-care,Robert Sambursky and Nathan Shapiro,Evaluation of a combined MxA and CRP point-of-care immunoassay to identify viral and/or bacterial immune response in patients with acute febrile respiratory infection,"A prospective, single center, blinded, observational clinical trial was conducted at Beth Israel Deaconess Medical Center from December 2012 to August 2013 to determine the accuracy of a POC immunoassay to identify a clinically significant immune response to viral and/or bacterial infection.",21
2015,In vitro toll,Vianka KF,Setting the proportion of CD4+ and CD8+ T-cells co-cultured with canine macrophages infected with Leishmania chagasi," The present study intended to establish an in vitro toll to assess the parasitological/immunological status of dogs, applicable in pre-clinical trials of vaccinology, prognosis follow-up and therapeutics analysis of canine visceral leishmaniasis. ",6
2018,ELISA/ELISPOT/Immunoplex,Schmidt ST,Rational Design and In Vivo Characterization of Vaccine Adjuvants,"adaptive immune responses, such as cytotoxic T-lymphocytes, various T-helper cell subsets, and antibody responses, which may be quantitatively evaluated using ELISA, ELISPOT, and immunoplex assays",1
2018,Drug screen,Y Cong,MERS-CoV pathogenesis and antiviral efficacy of licensed drugs in human monocyte-derived antigen-presenting cells,"These results demonstrate the value of testing drugs in primary cells, in addition to established cell lines, before initiating preclinical or clinical studies for MERS treatment and the importance of carefully assessing cytotoxicity in drug screen assays.",10
2019,ELISA/Survival,Luo D et al,Immunogenicity and Protection from Receptor-Binding Domains of Toxins as Potential Vaccine Candidates for Clostridium difficile,"vaccine candidates RBD-TcdA, RBD-TcdB, and RBD-TcdA/B was evaluated by ELISA and survival assays. The data indicated that mice immunized with all vaccine candidates displayed potent levels of RBD-specific serum IgG.",0
2019,ELISA,Xunliang Li,Porcine IL-12 plasmid as an adjuvant improves the cellular and humoral immune responses of DNA vaccine targeting transmissible gastroenteritis virus spike gene in a mouse model,The titers of TGEV S1 in an enzyme-linked immunosorbent assay (ELISA) and TGEV neutralizing antibodies and the concentrations of interferon (IFN)-? and IL-4 were also analyzed in the serum.,1
2019,Ferret,J Wong,Improving immunological insights into the ferret model of human viral infectious disease,"Nevertheless, progress has been made to understand immune responses in the ferret model with a limited set of ferret?specific reagents and assays.",0
