Source,Target,Weight
12,14,3
12,13,9
11,12,10
10,12,9
9,12,2
8,12,17
7,12,5
6,12,6
5,12,7
4,12,12
3,12,4
2,12,4
1,12,13
0,12,5
11,14,1
9,14,2
4,14,1
8,14,8
8,11,1
8,10,15
8,9,32
7,8,5
6,8,3
5,8,9
4,8,1
3,8,4
2,8,6
10,14,6
10,13,5
9,10,5
7,10,3
6,10,3
4,10,5
3,10,5
2,10,2
9,13,1
3,13,3
1,14,6
1,13,3
1,11,3
1,10,1
1,8,1
1,7,6
1,6,1
1,5,9
1,4,2
1,3,1
1,2,5
0,1,12
5,14,3
5,13,4
5,11,7
5,10,2
5,9,3
5,7,7
5,6,23
4,5,3
3,5,14
2,5,74
7,14,2
7,13,4
7,11,3
6,7,11
4,7,3
3,7,1
2,7,8
11,13,4
4,11,5
3,11,3
6,14,2
6,13,3
6,11,7
4,6,3
3,6,10
3,9,1
2,14,5
2,13,6
2,11,7
2,9,3
2,6,25
2,4,2
2,3,14
4,13,3
4,9,1
3,4,4
0,14,5
0,13,9
0,11,6
0,10,5
0,9,21
0,8,38
0,7,6
0,6,23
0,5,20
0,4,6
0,3,10
0,2,21
