Year,Name,Author,Title,Abstract,Citations
2017,monoclonal antibody,Yingzhu Chen,A novel neutralizing monoclonal antibody targeting the N-terminal domain of the MERS-CoV spike protein," Thus, both preventative and therapeutic countermeasures are urgently needed. In this study, we discovered a panel of neutralizing monoclonal antibodies (mAbs) against MERS-CoV, which mapped to a wide range of regions on the spike (S) protein of the virus",22
2017,MERS-five-helix bundle,Yaping Sun,Identification of a Novel Inhibitor against Middle East Respiratory Syndrome Coronavirus,"The continual outbreaks of MERS-CoV highlight the importance of developing antiviral therapeutics. Here, we rationally designed a novel fusion inhibitor named MERS-five-helix bundle (MERS-5HB) derived from the six-helix bundle (MERS-6HB) which was formed by the process of membrane fusion.",6
2018,peptide inhibitor,S Xia ,Peptide-Based Membrane Fusion Inhibitors Targeting HCoV-229E Spike Protein HR1 and HR2 Domains,"Here we reported the design, synthesis and characterization of two peptide-based membrane fusion inhibitors targeting HCoV-229E spike protein heptad repeat 1 (HR1) and heptad repeat 2 (HR2) domains, 229E-HR1P and 229E-HR2P, respectively. We found that 229E-HR1P and 229E-HR2P could interact to form a stable six-helix bundle and inhibit HCoV-229E spike protein-mediated cell-cell fusion with IC50 of 5.7 and 0.3 µM, respectively. ",17
2018,nanobody,Zhao G,A Novel Nanobody Targeting Middle East Respiratory Syndrome Coronavirus (MERS-CoV) Receptor-Binding Domain Has Potent Cross-Neutralizing Activity and Protective Efficacy against MERS-CoV,"Nanobodies (Nbs) are single-domain antibodies derived from camelids and sharks and are potentially cost-effective antivirals with small size and great expression yield. In this study, we developed a novel neutralizing Nb (NbMS10) and its human-Fc-fused version (NbMS10-Fc), both of which target the MERS-CoV spike protein receptor-binding domain (RBD).",20
2018,monoclonal antibody,Hui-Ju Han,Neutralizing Monoclonal Antibodies as Promising Therapeutics against Middle East Respiratory Syndrome Coronavirus Infection,"There are no approved vaccines or therapies for MERS until now. Passive immunotherapy with neutralizing monoclonal antibodies (mAbs) is an effective prophylactic and therapeutic reagent against emerging viruses. In this article, we review current advances in neutralizing mAbs against MERS-CoV. ",8
2019,m336,Cong Wang,Combining a Fusion Inhibitory Peptide Targeting the MERS-CoV S2 Protein HR1 Domain and a Neutralizing Antibody Specific for the S1 Protein Receptor-Binding Domain (RBD) Showed Potent Synergism against Pseudotyped MERS-CoV with or without Mutations in RBD,"However, we herein report that the combination of m336 and HR2P-M2 exhibited potent synergism in inhibiting MERS-CoV S protein-mediated cell–cell fusion and infection by MERS-CoV pseudoviruses with or without mutations in the RBD, resulting in the enhancement of antiviral activity in contrast to either one administered alone.",8
2019,antibodies,Zhou Y,Advances in MERS-CoV Vaccines and Therapeutics Based on the Receptor-Binding Domain,"The receptor-binding domain (RBD) of the S protein contains a critical neutralizing domain and is an important target for development of MERS vaccines and therapeutics. In this review, we describe the relevant features of the MERS-CoV S-protein RBD, summarize recent advances in the development of MERS-CoV RBD-based vaccines and therapeutic antibodies, and illustrate potential challenges and strategies to further improve their efficacy.",9
2019,IgG antibody,Kim MH,Superior immune responses induced by intranasal immunization with recombinant adenovirus-based vaccine expressing full-length Spike protein of Middle East respiratory syndrome coronavirus,"Here, we designed recombinant replication-deficient adenovirus-based vaccines expressing the N-terminal domain (rAd/NTD) and receptor-binding domain (rAd/RBD) of the MERS-CoV S1 subunit and full-length Spike protein (rAd/Spike). We found that immunization with candidate vaccines via intranasal route induced S1-specific IgG antibodies and neutralizing antibodies against MERS spike pseudotyped virus.",3
2019,IBV,Jason Westerbeck,The Infectious Bronchitis Coronavirus Envelope Protein Alters Golgi pH To Protect the Spike Protein and Promote the Release of Infectious Virus,This is the first demonstration of a coronavirus-induced alteration in the microenvironment of the secretory pathway.,9
2018,IBV,Sisk JM,Coronavirus S protein-induced fusion is blocked prior to hemifusion by Abl kinase inhibitors," Here, we use IBV, a BSL-2 virus, as a model for studying the role of Abl kinase activity during coronavirus infection. We found that imatinib and two specific Abl kinase inhibitors, GNF2 and GNF5, reduce IBV titres by blocking the first round of virus infection.",6
2017,monoclonal antibody,Du L,MERS-CoV spike protein: a key target for antivirals,"This review illustrates MERS-CoV S protein's structure and function, particularly S1 receptor-binding domain (RBD) and S2 heptad repeat 1 (HR1) as therapeutic targets, and summarizes current advancement on developing anti-MERS-CoV therapeutics, focusing on neutralizing monoclonal antibodies (mAbs) and antiviral peptides.",52
2018,TMPRSS2,Hannah Kleine,Functional analysis of potential cleavage sites in the MERS-coronavirus spike protein,"These findings suggest that cleavage at S2? is carried out by proteases recognizing a single arginine, most likely TMPRSS2 and cathepsin L.",9
2015,80R,J Virol,"Evaluation of Human Monoclonal Antibody 80R for Immunoprophylaxis of Severe Acute Respiratory Syndrome by an Animal Study, Epitope Mapping, and Analysis of Spike Variants","In addition, the effects of various 80R-binding domain amino acid substitutions which occur in SARS-like-CoV from civet cats, and which evolved during the 2002/2003 outbreak and in a 2003/2004 Guangdong index patient, were analyzed. The results demonstrated that the vast majority of SARS-CoVs are sensitive to 80R. ",111
2004,monoclonal antibody,Tong Zhou,An Exposed Domain in the Severe Acute Respiratory Syndrome Coronavirus Spike Protein Induces Neutralizing Antibodies, The properly refolded protein fragment specifically bound to the surface of Vero cells. Monoclonal antibodies raised against this fragment recognized the native spike protein of SARS CoV in both monomeric and trimeric forms. These monoclonal antibodies were capable of blocking S-II attachment to Vero cells and exhibited in vitro antiviral activity. ,73
2018,?-Helical Peptides,Chao Wang,Discovery of Hydrocarbon-Stapled Short ?-Helical Peptides as Promising Middle East Respiratory Syndrome Coronavirus (MERS-CoV) Fusion Inhibitors,The hexameric ?-helical coiled-coil formed between the C-terminal and N-terminal heptad repeat (CHR and NHR) regions of class I viral fusion proteins plays an important role in mediating the fusion of the viral and cellular membranes and provides a clear starting point for molecular mimicry that drives viral fusion inhibitor design.,13
2020,CR3022,Tian X,Potent binding of 2019 novel coronavirus spike protein by a SARS coronavirus-specific human monoclonal antibody,"Here, we report for the first time that a SARS-CoV-specific human monoclonal antibody, CR3022, could bind potently with 2019-nCoV RBD (KD of 6.3 nM). The epitope of CR3022 does not overlap with the ACE2 binding site within 2019-nCoV RBD. These results suggest that CR3022 may have the potential to be developed as candidate therapeutics, alone or in combination with other neutralizing antibodies, for the prevention and treatment of 2019-nCoV infections. ",44
2007,Polygonaceae herb,Ho TY,Emodin blocks the SARS coronavirus spike protein and angiotensin-converting enzyme 2 interaction,"Emodin, an anthraquinone compound derived from genus Rheum and Polygonum, significantly blocked the S protein and ACE2 interaction in a dose-dependent manner. It also inhibited the infectivity of S protein-pseudotyped retrovirus to Vero E6 cells. These findings suggested that emodin may be considered as a potential lead therapeutic agent in the treatment of SARS.",78
2016,griffithsin,Millet JK,Middle East respiratory syndrome coronavirus infection is inhibited by griffithsin,"Coronaviruses are enveloped viruses, with the spike proteins present on their surface responsible for virus entry into the target cell. Lectins are attractive anti-coronavirus candidates because of the highly glycosylated nature of the spike protein. We tested the antiviral effect of griffithsin (GRFT), a lectin isolated from the red marine alga Griffithsia sp. against MERS-CoV infection.",14
